Ticker,Weight
AAPL,0.025
AMAT,0.025
AMD,0.025
ANET,0.025
APA,0.025
AVGO,0.025
CDNS,0.025
CMG,0.025
CPRT,0.025
CZR,0.025
DHI,0.025
DVN,0.025
DXCM,0.025
ENPH,0.025
EQT,0.025
FCX,0.025
FICO,0.025
FSLR,0.025
FTNT,0.025
HES,0.025
KLAC,0.025
LEN,0.025
LLY,0.025
LRCX,0.025
MPC,0.025
MPWR,0.025
MRO,0.025
NUE,0.025
NVDA,0.025
ODFL,0.025
ON,0.025
PANW,0.025
PHM,0.025
PWR,0.025
SEDG,0.025
SNPS,0.025
STLD,0.025
TRGP,0.025
TSLA,0.025
URI,0.025
