"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1994-12-30",-0.011774732,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.014955,-0.026729732,NA,NA,NA
"1995-01-31",0.010161627,0.169,NA,NA,NA,NA,NA,NA,1.010161627,1010.161627,1010.161627,0,0,0.004156,NA,0.026,-0.015838373,NA,NA,NA
"1995-02-28",0.024647988,0.179,NA,NA,NA,NA,NA,NA,1.024647988,1035.06007866036,1035.06007866036,0,0,0.003983,NA,0.039228,-0.014580012,NA,NA,NA
"1995-03-31",0.035316325,0.1615,NA,NA,NA,NA,NA,NA,1.035316325,1071.61459679285,1071.61459679285,0,0,0.004134,NA,0.029334,0.005982325,NA,NA,NA
"1995-04-28",0.027782939,0.1695,NA,NA,NA,NA,NA,NA,1.027782939,1101.38719976706,1101.38719976706,0,0,0.00445,NA,0.029395,-0.00161206099999999,NA,NA,NA
"1995-05-31",0.039873729,0.183,NA,NA,NA,NA,NA,NA,1.039873729,1145.30361449464,1145.30361449464,0,0,0.005355,NA,0.039809,0.0000647290000000064,NA,NA,NA
"1995-06-30",0.096036346,0.164,NA,NA,NA,NA,NA,NA,1.096036346,1255.29438869129,1255.29438869129,0,0,0.004714,NA,0.024155,0.071881346,NA,NA,NA
"1995-07-31",0.069269976,0.1385,NA,NA,NA,NA,NA,NA,1.069269976,1342.24860086887,1342.24860086887,0,0,0.004522,NA,0.033405,0.035864976,NA,NA,NA
"1995-08-31",0.012625374,0.17,NA,NA,NA,NA,NA,NA,1.012625374,1359.19499145582,1359.19499145582,0,0,0.004637,NA,0.003502,0.009123374,NA,NA,NA
"1995-09-29",0.01607898,0.129,NA,NA,NA,NA,NA,NA,1.01607898,1381.04946053954,1381.04946053954,0,0,0.004309,NA,0.042102,-0.02602302,NA,NA,NA
"1995-10-31",-0.04801247,0.132,NA,NA,NA,NA,NA,NA,0.95198753,1314.74186474687,1381.04946053954,-66.3075957926708,-0.04801247,0.004714,NA,-0.003442,-0.04457047,NA,NA,NA
"1995-11-30",0.026338405,0.1535,0.333481597526194,-0.04801247,0.096036346,0.0362806912948392,0.0280817141,0.04801247,1.026338405,1349.37006845103,1381.04946053954,-31.6793920885125,-0.0229386368799103,0.004108,0.562357180137365,0.044179,-0.017840595,-0.0649110606098368,NA,NA
"1995-12-29",-0.061381036,0.122,0.266544335702112,-0.061381036,0.096036346,0.0430324654108222,0.0540283247,0.061381036,0.938618964,1266.54433570211,1381.04946053954,-114.505124837428,-0.0829116755837936,0.004882,0.377184568946047,0.017643,-0.079024036,-0.168491843155358,NA,NA
"1996-01-31",0.028706347,0.1245,0.289795773338816,-0.061381036,0.096036346,0.0429514144346453,0.0540283247,0.061381036,1.028706347,1302.90219689366,1381.04946053954,-78.1472636458784,-0.0565854199134536,0.004278,0.413639662795428,0.034861,-0.006154653,-0.147638913956599,NA,NA
"1996-02-29",0.027472676,0.136,0.293351404820133,-0.061381036,0.096036346,0.0429733447286201,0.0540283247,0.061381036,1.027472676,1338.69640680861,1381.04946053954,-42.3530537309307,-0.0306672968210599,0.003908,0.419051608938568,0.010088,0.017384676,-0.0762127751903994,NA,NA
"1996-03-29",0.014505213,0.15,0.267353475210485,-0.061381036,0.096036346,0.042829186817203,0.0540283247,0.061381036,1.014505213,1358.1144833317,1381.04946053954,-22.9349772078369,-0.0166069194935834,0.003943,0.380341253100569,0.009585,0.00492021300000001,-0.0785743510879189,NA,NA
"1996-04-30",0.09085842,0.167,0.345131503053311,-0.061381036,0.096036346,0.0473946681092382,0.0540283247,0.061381036,1.09085842,1481.51061946634,1481.51061946634,0,0,0.004579,0.454381210498845,0.015133,0.07572542,0.0775509257422735,NA,NA
"1996-05-31",0.031632868,0.126,0.334471514792964,-0.061381036,0.096036346,0.0472352917224756,0.0540283247,0.061381036,1.031632868,1528.37504933251,1528.37504933251,0,0,0.003982,0.443797934811781,0.025257,0.006375868,0.0893994484345642,NA,NA
"1996-06-28",-0.025767331,0.117,0.18617028559856,-0.061381036,0.09085842,0.0436114864625045,0.0540283247,0.061381036,0.974232669,1488.99290354422,1528.37504933251,-39.3821457882923,-0.025767331,0.004,0.249294839086657,0.004128,-0.029895331,-0.113430424674975,NA,NA
"1996-07-31",-0.07479471,0.114,0.0263554085582949,-0.07479471,0.09085842,0.0470645295142276,0.0674171893,0.07479471,0.92520529,1377.62411113157,1528.37504933251,-150.75093820094,-0.0986347809503811,0.004497,-0.0240348448893918,-0.044444,-0.03035071,-0.262449236513347,NA,NA
"1996-08-30",0.04435392,0.15,0.0585141571230832,-0.07479471,0.09085842,0.0485118644568975,0.0674171893,0.07479471,1.04435392,1438.72714074677,1528.37504933251,-89.6479085857395,-0.0586557001338718,0.004122,0.032069958914531,0.021928,0.02242592,-0.228700681530657,NA,NA
"1996-09-30",0.11607692,0.1235,0.162688377096756,-0.07479471,0.11607692,0.0580774814333828,0.0674171893,0.07479471,1.11607692,1605.73015596507,1605.73015596507,0,0,0.004375,0.17017671776975,0.056035,0.06004192,-0.0403897984593418,NA,NA
"1996-10-31",0.020186752,0.1185,0.245981950014083,-0.07479471,0.11607692,0.0546771156678596,0.0674171893,0.07479471,1.020186752,1638.14463240246,1638.14463240246,0,0,0.004246,0.28541563460415,0.026798,-0.006611248,0.0344047959810454,NA,NA
"1996-11-29",0.130109549,0.117,0.371960839361317,-0.07479471,0.130109549,0.0633197904609431,0.0674171893,0.07479471,1.130109549,1851.28289172111,1851.28289172111,0,0,0.003941,0.383248515037888,0.076441,0.053668549,0.17052461920502,NA,NA
"1996-12-31",-0.039677122,0.0895,0.403685022667788,-0.07479471,0.130109549,0.0607781098668209,0.0554800366,0.07479471,0.960322878,1777.82931456978,1851.28289172111,-73.4535771513315,-0.0396771220000001,0.004404,0.429689382529757,-0.019798,-0.019879122,0.350388060555782,NA,NA
"1997-01-31",0.106627336,0.107,0.510009364429395,-0.07479471,0.130109549,0.0646320279827461,0.0554800366,0.07479471,1.106627336,1967.39451824506,1967.39451824506,0,0,0.004014,0.504875450584826,0.062827,0.043800336,0.461455121072232,NA,NA
"1997-02-28",-0.073414981,0.13,0.361741376011043,-0.07479471,0.130109549,0.0720871810952956,0.07403585905,0.07479471,0.926585019,1822.95828706859,1967.39451824506,-144.436231176465,-0.0734149809999999,0.003788,0.336173770867307,0.007752,-0.081166981,0.181589057341316,NA,NA
"1997-03-31",-0.03649955,0.132,0.293279139187882,-0.07479471,0.130109549,0.0744454635439842,0.07403585905,0.07479471,0.96350045,1756.42112992182,1967.39451824506,-210.97338832324,-0.107234917230241,0.00431,0.268019544780071,-0.041688,0.00518845,0.18208769494549,NA,NA
"1997-04-30",0.039899994,0.115,0.232864819507745,-0.07479471,0.130109549,0.0716964136693271,0.07403585905,0.07479471,1.039899994,1826.50232246717,1967.39451824506,-140.892195777886,-0.0716135957843186,0.004313,0.219375971707711,0.060274,-0.020374006,0.00659878743017065,NA,NA
"1997-05-30",0.187918651,0.109,0.419635956436974,-0.07479471,0.187918651,0.0866566008514268,0.07403585905,0.07479471,1.187918651,2169.73617495357,2169.73617495357,0,0,0.004263,0.331525454699704,0.061401,0.126517651,0.1878965229201,NA,NA
"1997-06-30",-0.006607493,0.125,0.447555359891415,-0.07479471,0.187918651,0.0856476530177843,0.07403585905,0.07479471,0.993392507,2155.39965836572,2169.73617495357,-14.3365165878522,-0.00660749299999986,0.003744,0.354322090924064,0.044103,-0.050710493,0.151504466756484,NA,NA
"1997-07-31",0.167430121,0.108,0.82653487525156,-0.073414981,0.187918651,0.086086196620765,0.05485915855,0.073414981,1.167430121,2516.27848396925,2516.27848396925,0,0,0.004294,0.587192566686201,0.080388,0.087042121,0.309813452353288,NA,NA
