"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1994-12-30",-0.017481663,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.014955,-0.032436663,NA,NA,NA
"1995-01-31",0.006512396,0.182,NA,NA,NA,NA,NA,NA,1.006512396,1006.512396,1006.512396,0,0,0.004156,NA,0.026,-0.019487604,NA,NA,NA
"1995-02-28",0.034811516,0.192,NA,NA,NA,NA,NA,NA,1.034811516,1041.55061837755,1041.55061837755,0,0,0.003983,NA,0.039228,-0.004416484,NA,NA,NA
"1995-03-31",0.041184511,0.196,NA,NA,NA,NA,NA,NA,1.041184511,1084.44637127718,1084.44637127718,0,0,0.004134,NA,0.029334,0.011850511,NA,NA,NA
"1995-04-28",0.017263859,0.2055,NA,NA,NA,NA,NA,NA,1.017263859,1103.16810052397,1103.16810052397,0,0,0.00445,NA,0.029395,-0.012131141,NA,NA,NA
"1995-05-31",0.041629979,0.168,NA,NA,NA,NA,NA,NA,1.041629979,1149.09296538225,1149.09296538225,0,0,0.005355,NA,0.039809,0.001820979,NA,NA,NA
"1995-06-30",0.116069699,0.181,NA,NA,NA,NA,NA,NA,1.116069699,1282.46783999719,1282.46783999719,0,0,0.004714,NA,0.024155,0.091914699,NA,NA,NA
"1995-07-31",0.073265275,0.124,NA,NA,NA,NA,NA,NA,1.073265275,1376.42819897324,1376.42819897324,0,0,0.004522,NA,0.033405,0.039860275,NA,NA,NA
"1995-08-31",0.035029699,0.174,NA,NA,NA,NA,NA,NA,1.035029699,1424.64406447838,1424.64406447838,0,0,0.004637,NA,0.003502,0.031527699,NA,NA,NA
"1995-09-29",0.024834378,0.11,NA,NA,NA,NA,NA,NA,1.024834378,1460.0242136911,1460.0242136911,0,0,0.004309,NA,0.042102,-0.017267622,NA,NA,NA
"1995-10-31",-0.056792993,0.1255,NA,NA,NA,NA,NA,NA,0.943207007,1377.10506874311,1460.0242136911,-82.9191449479888,-0.0567929929999999,0.004714,NA,-0.003442,-0.053350993,NA,NA,NA
"1995-11-30",0.000559820999999996,0.178,0.353788437173131,-0.056792993,0.116069699,0.0435144635815188,0.0351717615,0.056792993,1.000559821,1377.8760010798,1460.0242136911,-82.1482126112999,-0.0562649659101341,0.004108,0.504381101750612,0.044179,-0.043619179,-0.0118757295917458,NA,NA
"1995-12-29",-0.084158389,0.184,0.261916176587158,-0.084158389,0.116069699,0.052877757680639,0.0691074212,0.084158389,0.915841611,1261.91617658716,1460.0242136911,-198.108037103938,-0.135688186021997,0.004882,0.309275833557542,0.017643,-0.101801389,-0.127118926043626,NA,NA
"1996-01-31",-0.004944126,0.1825,0.247552547786677,-0.084158389,0.116069699,0.05326219948948,0.0691074212,0.084158389,0.995055874,1255.67710400867,1460.0242136911,-204.347109682423,-0.139961452533593,0.004278,0.288927905672381,0.034861,-0.039805126,-0.158804679280772,NA,NA
"1996-02-29",0.032858394,0.193,0.245197894509666,-0.084158389,0.116069699,0.0532154406756126,0.0691074212,0.084158389,1.032858394,1296.93663702897,1460.0242136911,-163.087576662127,-0.111701967085754,0.003908,0.286240711153483,0.010088,0.022770394,-0.111807914106401,NA,NA
"1996-03-29",0.003777188,0.227,0.200460848052736,-0.084158389,0.116069699,0.0529395466739724,0.0691074212,0.084158389,1.003777188,1301.83541053112,1460.0242136911,-158.188803159981,-0.108346698415407,0.003943,0.229149399560264,0.009585,-0.005807812,-0.141576382293105,NA,NA
"1996-04-30",0.098179964,0.179,0.295948970598358,-0.084158389,0.116069699,0.0579460435134927,0.0691074212,0.084158389,1.098179964,1429.64956427099,1460.0242136911,-30.3746494201109,-0.0208042093653506,0.004579,0.325532563391339,0.015133,0.083046964,0.0136313767166886,NA,NA
"1996-05-31",0.040634946,0.146,0.294710995484297,-0.084158389,0.116069699,0.0579182266993692,0.0691074212,0.084158389,1.040634946,1487.74329711406,1487.74329711406,0,0,0.003982,0.32623273207947,0.025257,0.015377946,0.0334334795856537,NA,NA
"1996-06-28",-0.013502607,0.197,0.144398976943907,-0.084158389,0.098179964,0.05067066964973,0.0691074212,0.084158389,0.986497393,1467.65488405624,1487.74329711406,-20.0884130578154,-0.013502607,0.004,0.160973384071117,0.004128,-0.017630607,-0.145971858444084,NA,NA
"1996-07-31",-0.069366476,0.114,-0.00768609813142163,-0.084158389,0.098179964,0.0518309522667456,0.07602283685,0.084158389,0.930633524,1365.84883676507,1487.74329711406,-121.894460348985,-0.0819324547355969,0.004497,-0.0719119866989477,-0.044444,-0.024922476,-0.266426906721245,NA,NA
"1996-08-30",0.040674877,0.208,-0.0022738972899049,-0.084158389,0.098179964,0.05219625947258,0.07602283685,0.084158389,1.040674877,1421.40457020109,1487.74329711406,-66.338726912973,-0.0445901702542754,0.004122,-0.0615737337466046,0.021928,0.018746877,-0.294807729528267,NA,NA
"1996-09-30",0.127531165,0.175,0.0977064188020664,-0.084158389,0.127531165,0.0636176037316465,0.07602283685,0.084158389,1.127531165,1602.67795097516,1602.67795097516,0,0,0.004375,0.0839177631166309,0.056035,0.071496165,-0.119872112399307,NA,NA
"1996-10-31",0.03203631,0.1445,0.201086159789098,-0.084158389,0.127531165,0.0602670360255195,0.07602283685,0.084158389,1.03203631,1654.02183864276,1654.02183864276,0,0,0.004246,0.212057697864137,0.026798,0.00523831,-0.0279630127528974,NA,NA
"1996-11-29",0.127842352,0.172,0.35387791012566,-0.084158389,0.127842352,0.0678320028682604,0.07602283685,0.084158389,1.127842352,1865.47588075422,1865.47588075422,0,0,0.003941,0.344982931023201,0.076441,0.051401352,0.128581927585972,NA,NA
"1996-12-31",-0.024293151,0.164,0.442375989203021,-0.069366476,0.127842352,0.0606882245926465,0.04457614725,0.069366476,0.975706849,1820.1575934962,1865.47588075422,-45.3182872580201,-0.0242931509999999,0.004404,0.468451442172821,-0.019798,-0.004495151,0.38582262180399,NA,NA
"1997-01-31",0.119971214,0.144,0.623446109793185,-0.069366476,0.127842352,0.0642670210327139,0.04457614725,0.069366476,1.119971214,2038.52410965925,2038.52410965925,0,0,0.004014,0.604681800642642,0.062827,0.057144214,0.639561908018303,NA,NA
"1997-02-28",-0.09224934,0.115,0.426801859964548,-0.09224934,0.127842352,0.0752723113822841,0.0796637648,0.09224934,0.90775066,1850.4716059691,2038.52410965925,-188.052503690154,-0.0922493400000001,0.003788,0.377900624780002,0.007752,-0.10000134,0.248634613017601,NA,NA
"1997-03-31",-0.030030535,0.165,0.378746452216464,-0.09224934,0.127842352,0.0770607301148958,0.0796637648,0.09224934,0.969969465,1794.90095363954,2038.52410965925,-243.623156019715,-0.119509577966403,0.00431,0.332173856625823,-0.041688,0.011657465,0.279481517502879,NA,NA
"1997-04-30",0.052898392,0.142,0.32189620108059,-0.09224934,0.127842352,0.0744723698477893,0.0796637648,0.09224934,1.052898392,1889.84832788634,2038.52410965925,-148.675781772917,-0.0729330504694247,0.004313,0.293347214472301,0.060274,-0.00737560800000001,0.141879472651559,NA,NA
"1997-05-30",0.221804971,0.163,0.552032589174918,-0.09224934,0.221804971,0.0936110034654725,0.0796637648,0.09224934,1.221804971,2309.02608144756,2309.02608144756,0,0,0.004263,0.394401793591331,0.061401,0.160403971,0.291485236253507,NA,NA
"1997-06-30",-0.015694979,0.182,0.548583383109358,-0.09224934,0.221804971,0.093729342882582,0.0796637648,0.09224934,0.984305021,2272.78596558879,2309.02608144756,-36.2401158587722,-0.0156949790000002,0.003744,0.392182236670352,0.044103,-0.059797979,0.224458158166128,NA,NA
"1997-07-31",0.18452857,0.1705,0.971067249367958,-0.09224934,0.221804971,0.0952135981007605,0.05802899725,0.09224934,1.18452857,2692.17990973496,2692.17990973496,0,0,0.004294,0.60846162371357,0.080388,0.10414057,0.36758655778785,NA,NA
"1997-08-29",-0.026930046,0.131,0.843021639190955,-0.09224934,0.221804971,0.0985376422801254,0.05802899725,0.09224934,0.973069954,2619.67938092552,2692.17990973496,-72.500528809438,-0.0269300459999999,0.004058,0.530816539138462,-0.054975,0.028044954,0.378840416590836,NA,NA
"1997-09-30",0.002666332,0.1505,0.638922101779974,-0.09224934,0.221804971,0.0969289941687103,0.05802899725,0.09224934,1.002666332,2626.66431588862,2692.17990973496,-65.5155938463363,-0.0243355184434112,0.004576,0.432102466957409,0.053886,-0.051219668,0.226836636641309,NA,NA
"1997-10-31",-0.114852875,0.2105,0.405655181346769,-0.114852875,0.221804971,0.107551942107883,0.10242093075,0.114852875,0.885147125,2324.98436754891,2692.17990973496,-367.195542186053,-0.13639338918557,0.003911,0.275870506552436,-0.032605,-0.082247875,0.116279238349095,NA,NA
