"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1996-11-29",0.117663706,0.158,0.321325313178169,-0.078815056,0.129458494,0.0677622174619063,0.0785580025,0.078815056,1.117663706,1811.52034723773,1811.52034723773,0,0,0.003941,0.314741220090527,0.076441,0.041222706,0.0900859051616743,NA,NA
"1996-12-31",-0.029159806,0.149,0.392549597926346,-0.078347686,0.129458494,0.0620877924996991,0.051294352,0.078347686,0.970840194,1758.69676534722,1811.52034723773,-52.8235818905048,-0.029159806,0.004404,0.410794663596019,-0.019798,-0.009361806,0.306141107446631,NA,NA
"1997-01-31",0.110338444,0.144,0.534572014080103,-0.078347686,0.129458494,0.0657392179357118,0.051294352,0.078347686,1.110338444,1952.74862990347,1952.74862990347,0,0,0.004014,0.518574544548708,0.062827,0.047511444,0.479934551450835,NA,NA
"1997-02-28",-0.103598796,0.122,0.32692192046397,-0.103598796,0.129458494,0.0774709340017435,0.0897106855,0.103598796,0.896401204,1750.44622295482,1952.74862990347,-202.302406948649,-0.103598796,0.003788,0.289280901998191,0.007752,-0.111350796,0.122344518612968,NA,NA
"1997-03-31",-0.03120576,0.108,0.300442964358113,-0.103598796,0.129458494,0.0785533838247286,0.0897106855,0.103598796,0.96879424,1695.82221822838,1952.74862990347,-256.926411675084,-0.131571676835735,0.00431,0.263978916719038,-0.041688,0.01048224,0.174732857390652,NA,NA
"1997-04-30",0.053394562,0.13,0.255140735973471,-0.103598796,0.129458494,0.0763639995891541,0.0897106855,0.103598796,1.053394562,1786.36990280056,1952.74862990347,-166.37872710291,-0.0852023268919846,0.004313,0.230347101967382,0.060274,-0.006879438,0.0449255747818086,NA,NA
"1997-05-30",0.207970288,0.162,0.458495028175333,-0.103598796,0.207970288,0.0934886333890072,0.0897106855,0.103598796,1.207970288,2157.88176596052,2157.88176596052,0,0,0.004263,0.33803215450984,0.061401,0.146569288,0.207997164969792,NA,NA
"1997-06-30",-0.010437636,0.168,0.482998481797692,-0.103598796,0.207970288,0.0926086672428189,0.0897106855,0.103598796,0.989562364,2135.35858155639,2157.88176596052,-22.5231844041332,-0.010437636,0.003744,0.356187343460819,0.044103,-0.054540636,0.171871991009278,NA,NA
"1997-07-31",0.20855567,0.13,0.944644630684443,-0.103598796,0.20855567,0.0970090817867765,0.0637826262,0.103598796,1.20855567,2580.69972122313,2580.69972122313,0,0,0.004294,0.58666223599996,0.080388,0.12816767,0.345899526231521,NA,NA
"1997-08-29",-0.025087238,0.101,0.83078293786174,-0.103598796,0.20855567,0.0999921383977673,0.0637826262,0.103598796,0.974912762,2515.95709311027,2580.69972122313,-64.7426281128587,-0.0250872380000002,0.004058,0.51868255175907,-0.054975,0.029887762,0.3652776620748,NA,NA
"1997-09-30",0.016197752,0.104,0.647194222486458,-0.103598796,0.20855567,0.0977492347279986,0.0637826262,0.103598796,1.016197752,2556.70994214711,2580.69972122313,-23.9897790760169,-0.00929584285948887,0.004576,0.433855389777144,0.053886,-0.037688248,0.233783497996165,NA,NA
"1997-10-31",-0.092820686,0.145,0.431009545536128,-0.103598796,0.20855567,0.105728453277431,0.0976708355,0.103598796,0.907179314,2319.394371414,2580.69972122313,-261.305349809133,-0.101253682348323,0.003911,0.293357250313185,-0.032605,-0.060215686,0.137259193663569,NA,NA
"1997-11-28",-0.02166055,0.142,0.252624634949509,-0.103598796,0.20855567,0.103469420542709,0.0976708355,0.103598796,0.97833945,2269.15501366226,2580.69972122313,-311.544707560864,-0.120721021899133,0.003773,0.187686889177568,0.046321,-0.06798155,0.0156683920291237,1.52968073924701,0.0126953639203342
"1997-12-31",0.018606268,0.134,0.314254717198887,-0.103598796,0.20855567,0.102168319302565,0.0976708355,0.103598796,1.018606268,2311.37551998001,2580.69972122313,-269.32420124312,-0.104360921585822,0.004629,0.228853816847963,0.017147,0.001459268,0.0273061738364403,1.51893182613496,0.0153934557371344
"1998-01-30",-0.030453918,0.209,0.147605505957064,-0.103598796,0.20855567,0.0998510325019831,0.0976708355,0.103598796,0.969546082,2240.98507942733,2580.69972122313,-339.714641795798,-0.131636640637443,0.004204,0.116504350282363,0.011994,-0.042447918,-0.0697185516920635,1.53228230752794,0.00759199503219127
"1998-02-27",0.142620364,0.217,0.46282425223635,-0.092820686,0.20855567,0.0983747959242075,0.0589324767,0.092820686,1.142620364,2560.59518717383,2580.69972122313,-20.1045340493038,-0.00779034224089239,0.003847,0.326775024347704,0.071956,0.070664364,0.135700445129422,1.59149023019122,0.0201989467000818
"1998-03-31",0.001171846,0.196,0.511712597491327,-0.092820686,0.20855567,0.0967859769751565,0.0585189636,0.092820686,1.001171846,2563.59581040153,2580.69972122313,-17.103910821595,-0.00662762532228608,0.004485,0.359865942586638,0.051336,-0.050164154,0.063839086273983,1.54323644147132,0.0225694364760635
"1998-04-30",0.092579088,0.17,0.567945792267329,-0.092820686,0.20855567,0.0979693696525029,0.0585189636,0.092820686,1.092579088,2800.93117252913,2800.93117252913,0,0,0.004308,0.388853891801001,0.011275,0.081304088,0.156465056315486,1.51944412185278,0.0250721761457166
"1998-05-29",-0.046648514,0.132,0.237450511717805,-0.092820686,0.20855567,0.0856129661729652,0.0674259914,0.092820686,0.953351486,2670.27189551437,2800.93117252913,-130.659277014762,-0.0466485140000001,0.003805,0.197583433789203,-0.017674,-0.028974514,-0.0390674765915832,1.53670001985146,0.0110078112935591
"1998-06-30",-0.019350874,0.176,0.226304482598854,-0.092820686,0.20855567,0.0859490081414456,0.0674259914,0.092820686,0.980649126,2618.59980051853,2800.93117252913,-182.331372010602,-0.0650966984832989,0.004021,0.187900372742975,0.04097,-0.060320874,-0.0461527651061354,1.50244188450504,0.010749068455308
"1998-07-31",0.062590424,0.207,0.0781955953405247,-0.092820686,0.142620364,0.0645508986552539,0.0674259914,0.092820686,1.062590424,2782.4990723193,2800.93117252913,-18.4321002098318,-0.00658070444236883,0.003873,0.0622944619481716,-0.010109,0.072699424,-0.134540848840339,1.42507923613921,0.00282171222345085
"1998-08-31",-0.145465164,0.152,-0.0549352391796492,-0.145465164,0.142620364,0.0781136780002804,0.1165107011,0.145465164,0.854534836,2377.74238843452,2800.93117252913,-423.188784094606,-0.151088605191424,0.004012,-0.0768943052454711,-0.143124,-0.00234116400000001,-0.185658740215453,1.28048148101939,-0.00469081129952637
"1998-09-30",0.176216454,0.196,0.0938822877581715,-0.145465164,0.176216454,0.0936040480522493,0.1165107011,0.145465164,1.176216454,2796.73972064994,2800.93117252913,-4.19145187918411,-0.00149644943806291,0.003875,0.0789155133106713,0.063176,0.113040454,0.0341909920734776,1.35324105171192,0.00545860731216755
"1998-10-30",0.099077002,0.197,0.325273677228219,-0.145465164,0.176216454,0.0905120648339131,0.0911160065,0.145465164,1.099077002,3073.83230754626,3073.83230754626,0,0,0.003353,0.258802907026635,0.080111,0.018966002,0.141951513143952,1.33352430964996,0.0175660730970468
"1998-11-30",0.00616374399999999,0.194,0.362964894142408,-0.145465164,0.176216454,0.08949050764774,0.0911160065,0.145465164,1.006163744,3092.7786229889,3092.7786229889,0,0,0.003233,0.288169967346452,0.062164,-0.056000256,0.161285566239695,1.31559721232019,0.0196021064997441
"1998-12-31",0.17622468,0.154,0.573869115896593,-0.145465164,0.17622468,0.0987888515876904,0.0911160065,0.145465164,1.17622468,3637.80254613596,3637.80254613596,0,0,0.003779,0.394722451369457,0.059673,0.11655168,0.285057955840988,1.35800889631061,0.0287142284359143
"1999-01-29",0.163173966,0.163,0.888186250751466,-0.145465164,0.17622468,0.10149551792901,0.0911160065,0.145465164,1.163173966,4231.39721511387,4231.39721511387,0,0,0.003494,0.54375801473258,0.0428,0.120373966,0.465682081900863,1.39187715057019,0.0396507704079522
